iso,nuts,qid
DE-BB,DE4,Q1208
DE-BE,DE3,Q64
DE-BW,DE1,Q985
DE-BY,DE2,Q980
DE-HB,DE5,Q1209
DE-HE,DE7,Q1199
DE-HH,DE6,Q1055
DE-MV,DE8,Q1196
DE-NI,DE9,Q1197
DE-NW,DEA,Q1198
DE-RP,DEB,Q1200
DE-SH,DEF,Q1194
DE-SL,DEC,Q1201
DE-SN,DED,Q1202
DE-ST,DEE,Q1206
DE-TH,DEG,Q1205
FR-20R,FRM,Q14112
FR-ARA,FRK,Q18338206
FR-BFC,FRC,Q18578267
FR-BRE,FRH,Q12130
FR-CVL,FRB,Q13947
FR-GES,FRF,Q18677983
FR-HDF,FRE,Q18677767
FR-IDF,FR1,Q13917
FR-NAQ,FRI,Q18678082
FR-NOR,FRD,Q18677875
FR-OCC,FRJ,Q18678265
FR-PAC,FRL,Q15104
FR-PDL,FRG,Q16994
IT-21,ITC1
IT-23,ITC2
IT-25,ITC4
IT-32,ITH1+ITH2
IT-34,ITH3
IT-36,ITH4
IT-42,ITC3
IT-45,ITH5
IT-52,ITI1
IT-55,ITI2
IT-57,ITI3
IT-62,ITI4
IT-65,ITF1
IT-67,ITF2
IT-72,ITF3
IT-75,ITF4
IT-77,ITF5
IT-78,ITF6
IT-82,ITG1
IT-88,ITG2
